1	12
2	8
3	7
4	6
5	13
6	19
7	7
8	9
9	14
10	13
11	4
12	10
13	8
14	15
15	14
16	19
17	20
18	17
19	20
20	6
21	19
22	9
23	4
24	12
25	13
26	12
27	11
28	19
29	13
30	2
31	4
32	6
33	8
34	16
35	2
36	13
37	15
38	13
39	4
40	2
41	2
42	19
43	2
44	9
45	1
46	19
47	5
48	5
49	16
50	16
51	16
52	16
53	17
54	6
55	10
56	18
57	17
58	13
59	1
60	18
61	12
62	6
63	14
64	20
65	18
66	2
67	4
68	3
69	1
70	11
71	8
72	1
73	12
74	1
75	16
76	5
77	6
78	18
79	16
80	8
81	17
82	18
83	13
84	13
85	1
86	1
87	9
88	14
89	10
90	7
91	9
92	9
93	17
94	3
95	15
96	3
97	11
98	1
99	11
100	15
