1	85	6	3	3	1	4	4	6	4
16	79	5	5	3	2	4	2	3	5
13	5	2	5	2	2	4	2	2	3
18	60	9	4	2	4	4	3	10	5
2	43	3	5	5	4	7	2	3	2
19	85	8	2	4	4	7	3	8	3
5	47	5	3	2	3	9	4	5	2
19	28	9	5	3	2	7	3	8	4
16	50	6	3	2	3	3	3	4	2
18	78	6	2	4	4	5	3	10	3
9	8	6	5	3	4	3	4	9	4
4	11	6	1	3	5	2	5	6	2
10	55	6	2	3	2	3	5	7	2
6	62	7	4	5	3	7	4	8	3
5	76	10	3	2	2	9	4	6	2
10	85	6	2	4	4	10	3	8	2
20	17	6	3	3	4	7	4	7	4
17	93	10	4	3	3	7	4	7	5
19	6	7	3	2	3	6	4	6	5
10	12	6	4	4	3	9	4	8	1
3	28	7	4	1	3	5	1	7	4
4	23	6	3	5	4	10	2	7	2
1	74	9	4	3	4	5	5	6	5
10	78	6	4	4	4	7	5	7	2
15	100	9	4	2	3	4	4	1	3
18	65	10	5	5	2	6	2	10	4
9	11	5	4	3	3	8	1	7	3
1	45	7	4	3	1	4	2	6	3
9	87	3	2	4	2	7	5	9	3
6	20	8	4	2	3	9	1	4	4
13	25	2	5	5	1	4	2	10	2
16	75	10	3	4	2	5	4	10	4
9	92	4	5	4	3	9	4	3	2
5	75	5	3	2	4	7	2	6	2
6	32	8	2	2	4	5	4	7	3
8	33	4	4	4	3	9	3	3	2
13	6	5	2	1	5	3	4	9	2
19	46	10	3	3	5	6	5	6	2
9	22	10	4	4	4	6	4	5	2
12	78	7	5	3	4	8	4	3	1
4	39	9	3	3	2	5	3	7	3
20	33	7	3	5	4	9	5	7	3
19	42	5	4	4	2	7	3	6	3
14	23	5	3	3	2	3	5	2	5
1	98	4	4	4	2	10	1	8	4
3	94	9	3	4	3	6	3	5	2
1	25	6	2	2	3	9	5	3	5
16	52	8	2	3	5	9	3	9	2
9	44	6	1	4	1	8	4	2	3
8	60	8	3	3	2	5	4	5	4
8	13	8	3	3	4	4	1	4	2
4	67	7	2	4	4	7	1	8	1
12	1	6	4	2	3	9	3	3	1
19	16	9	4	5	4	8	3	4	2
2	30	3	3	4	1	5	3	6	4
18	56	5	4	2	3	9	4	6	2
20	94	7	3	3	3	4	5	7	2
13	10	5	5	4	4	3	3	8	5
11	13	9	3	3	5	5	2	5	2
7	76	7	3	4	5	5	2	3	5
15	14	3	1	2	2	8	2	1	5
7	47	7	3	4	4	5	2	2	5
20	22	4	3	4	3	8	3	10	3
9	5	2	4	4	3	7	1	2	5
3	87	7	3	2	3	9	2	4	3
10	17	6	2	3	5	9	3	5	3
10	14	6	2	4	2	7	3	3	4
14	22	9	4	5	5	6	4	5	1
6	4	10	5	5	4	8	3	9	3
9	10	5	4	3	4	6	3	7	3
15	37	3	1	3	2	2	5	1	5
11	99	4	4	5	4	5	3	4	4
8	2	6	3	2	2	7	5	9	4
20	64	7	2	4	5	6	5	8	3
5	52	4	5	5	3	4	3	7	4
17	53	6	3	2	2	10	4	7	4
13	83	6	2	1	3	4	2	3	2
14	88	5	4	3	3	8	4	4	5
4	43	3	4	3	4	5	1	3	2
7	92	9	5	4	3	8	4	4	2
20	43	4	4	2	3	7	3	4	3
7	3	9	3	1	2	5	2	9	3
5	48	9	4	1	3	7	3	4	2
