1	8
2	9
3	3
4	11
5	17
6	18
7	19
8	7
9	16
10	7
11	17
12	19
13	7
14	5
15	6
16	20
17	18
18	1
19	2
20	3
21	16
22	6
23	17
24	18
25	5
26	2
27	8
28	10
29	18
30	11
31	19
32	12
33	19
34	1
35	1
36	11
37	4
38	18
39	3
40	19
41	19
42	1
43	6
44	16
45	8
46	18
47	11
48	4
49	20
50	17
51	14
52	18
53	14
54	12
55	2
56	11
57	8
58	7
59	17
60	4
61	17
62	17
63	15
64	19
65	1
66	20
67	6
68	1
69	14
70	2
71	4
72	20
73	4
74	3
75	11
76	20
77	14
78	16
79	1
80	1
81	19
82	17
83	18
84	3
85	20
86	5
87	20
88	10
89	17
90	17
91	18
92	10
93	8
94	5
95	12
96	6
97	10
98	6
99	19
100	6
